model,loss,entropy,value_loss,policy_loss,use_slap,Num_ResBlock,lr,optimizer,dropout,L2,extra_act_fc,batch_size,special,train_loss,train_entropy,train_value_loss,train_policy_loss,kl,lr_multiplier,explained_var_old,explained_var_new
0.001L2_Slap,4.329236984,4.082950592,0.215339392,4.1138978,TRUE,0,0.001,Adam,0,0.001,FALSE,512,,4.336713791,4.090273857,0.222821653,4.113892078,0.000715504,1,0.004416801,0.008786677
0.001L2_Slap,4.322721004,4.091066837,0.212395653,4.110325336,TRUE,0,0.001,Adam,0,0.001,FALSE,512,,4.320444584,4.107411385,0.217583388,4.102861404,0.001132308,1,0.010390591,0.012314677
0.001L2_Slap,4.314918518,4.115219116,0.207342982,4.107575417,TRUE,0,0.001,Adam,0,0.001,FALSE,512,,4.312395573,4.119479656,0.215759844,4.096635818,0.000169067,1,0.033067651,0.036894653
0.001L2_Slap,4.27846384,4.11453867,0.187451392,4.091012478,TRUE,0,0.001,Adam,0,0.001,FALSE,512,,4.294939518,4.114545345,0.193359911,4.101579666,4.76E-05,1,0.101874023,0.118269691
0.001L2_Slap,4.111482143,4.047058105,0.129617348,3.981864929,TRUE,0,0.001,Adam,0,0.001,FALSE,512,,4.129922867,4.035788536,0.139853776,3.990068913,0.00125355,1,0.372056226,0.400279724
0.001L2_Slap,3.951598883,3.813675404,0.107099138,3.844499826,TRUE,0,0.001,Adam,0,0.001,FALSE,512,,4.021025658,3.79057312,0.125740454,3.89528513,0.003095687,1,0.422472365,0.460935383
0.001L2_Slap,3.822549105,3.72652626,0.081412882,3.741136312,TRUE,0,0.001,Adam,0,0.001,FALSE,512,,3.894299269,3.737109184,0.081542581,3.812756777,0.000894871,1,0.625940206,0.636555931
0.001L2_Slap,3.696896076,3.720777273,0.064808145,3.632087946,TRUE,0,0.001,Adam,0,0.001,FALSE,512,,3.77698493,3.786620378,0.062071517,3.714913368,0.002145578,1,0.695192396,0.706077382
0.001L2_Slap,3.595839262,3.694016933,0.057048414,3.538790941,TRUE,0,0.001,Adam,0,0.001,FALSE,512,,3.500123978,3.648617744,0.054065108,3.44605875,0.000719552,1,0.776789551,0.776313213
0.001L2_Slap,3.469582796,3.49164772,0.041917339,3.427665472,TRUE,0,0.001,Adam,0,0.001,FALSE,512,,3.477781057,3.471527338,0.041770626,3.436010361,0.001618449,1,0.808142852,0.814079731
0.001L2_Slap,3.365291119,3.381587505,0.034313954,3.330977201,TRUE,0,0.001,Adam,0,0.001,FALSE,512,,3.383816004,3.308558702,0.039326821,3.344489098,0.006061297,1,0.827496882,0.852973824
0.001L2_Slap,3.288440943,3.289144516,0.031074872,3.25736618,TRUE,0,0.001,Adam,0,0.001,FALSE,512,,3.385662556,3.273195744,0.033982825,3.351679802,0.002352752,1,0.845319684,0.85602932
0.001L2_Slap,3.221714735,3.181640148,0.028956804,3.192757845,TRUE,0,0.001,Adam,0,0.001,FALSE,512,,3.115480423,3.127564907,0.027043251,3.08843708,0.000972389,1,0.880162784,0.879630513
0.001L2_Slap,3.167216778,3.19089818,0.023954676,3.143262148,TRUE,0,0.001,Adam,0,0.001,FALSE,512,,3.220916748,3.182964802,0.028457744,3.192459106,0.002761714,1,0.868332392,0.881479507
0.001L2_Slap,3.124581099,3.178885221,0.020616783,3.103964329,TRUE,0,0.001,Adam,0,0.001,FALSE,512,,3.054479361,3.140026331,0.021705789,3.032773495,0.000460565,1,0.901842285,0.909493322
0.001L2_Slap,3.094673634,3.169012308,0.019825654,3.074847937,TRUE,0,0.001,Adam,0,0.001,FALSE,512,,3.079569101,3.133376598,0.021533174,3.058035851,0.000427849,1,0.903265814,0.905027367
0.001L2_Slap,3.083590984,2.954528809,0.019660719,3.063930273,TRUE,0,0.001,Adam,0,0.001,FALSE,512,,2.977650642,2.95634532,0.018413477,2.959237099,0.002129566,1,0.917463674,0.91213668
0.001L2_Slap,3.045897245,3.077767611,0.016424812,3.029472351,TRUE,0,0.001,Adam,0,0.001,FALSE,512,,3.05413413,3.03127718,0.01785738,3.036276817,0.003033253,1,0.916882819,0.924678327
0.001L2_Slap,3.034287214,2.997620821,0.014792631,3.019494534,TRUE,0,0.001,Adam,0,0.001,FALSE,512,,2.976232052,2.975390911,0.010847913,2.965384245,0.000368921,1,0.952190056,0.952995518
0.001L2_Slap,3.02694726,2.963843822,0.015454552,3.011492729,TRUE,0,0.001,Adam,0,0.001,FALSE,512,,3.135564566,3.117079496,0.010372747,3.125191927,0.000491781,1,0.948978734,0.94805251
0.001L2_Slap,3.015095711,3.094568729,0.016590169,2.998505592,TRUE,0,0.001,Adam,0,0.001,FALSE,512,,2.974637508,2.948534489,0.010015531,2.964622021,0.01564513,1,0.954349013,0.936848374
0.001L2_Slap,3.003668785,3.071629047,0.01300768,2.990661144,TRUE,0,0.001,Adam,0,0.001,FALSE,512,,2.9511199,3.0021348,0.014472931,2.936646938,0.000871134,1,0.935210418,0.934898605
0.001L2_Slap,3.009461641,2.912535429,0.013842312,2.995619297,TRUE,0,0.001,Adam,0,0.001,FALSE,512,,2.898093462,2.87852335,0.008872729,2.889220715,0.001934003,1,0.960831396,0.956819195
0.001L2_Slap,2.99685955,2.931522369,0.012487781,2.984371662,TRUE,0,0.001,Adam,0,0.001,FALSE,512,,3.148719549,3.066485882,0.017023614,3.131695986,0.000398084,1,0.915501135,0.92283242
0.001L2_Slap,2.987289429,3.03894496,0.011908173,2.975381374,TRUE,0,0.001,Adam,0,0.001,FALSE,512,,2.911993504,2.944255829,0.013882257,2.898111343,0.000428438,1,0.938834455,0.942274877
0.001L2_Slap,2.98076129,2.991477966,0.010631474,2.970129728,TRUE,0,0.001,Adam,0,0.001,FALSE,512,,3.014024019,3.08869791,0.006394781,3.007629156,0.003215802,1,0.974622121,0.975809526
0.001L2_Slap,2.976434231,2.999636889,0.010326855,2.966107368,TRUE,0,0.001,Adam,0,0.001,FALSE,512,,2.888725519,3.030533552,0.011268739,2.877456665,0.012358813,1,0.955876225,0.96090943
0.001L2_Slap,2.974188805,2.989889145,0.010044029,2.964144707,TRUE,0,0.001,Adam,0,0.001,FALSE,512,,2.858125687,2.944794893,0.008102482,2.85002327,0.001994344,1,0.966137376,0.967663228
0.001L2_Slap,2.970952511,2.985008001,0.008908612,2.962044001,TRUE,0,0.001,Adam,0,0.001,FALSE,512,,2.917331696,3.009423256,0.005624326,2.911707401,0.002561701,1,0.97562003,0.980957829
0.001L2_Slap,2.969181061,2.989064217,0.008919096,2.96026206,TRUE,0,0.001,Adam,0,0.001,FALSE,512,,2.848304033,2.922700882,0.005130114,2.843173981,0.000265182,1,0.977955275,0.979113354
0.001L2_Slap,2.972402096,2.922195196,0.010200437,2.962201595,TRUE,0,0.001,Adam,0,0.001,FALSE,512,,2.975014687,3.048005581,0.006790061,2.968224525,0.009957765,1,0.97168207,0.971305808
0.001L2_Slap,2.964416504,2.956133127,0.009257462,2.955158949,TRUE,0,0.001,Adam,0,0.001,FALSE,512,,3.00987339,3.064568043,0.008609333,3.001264095,0.002794195,1,0.960877322,0.958809408
0.001L2_Slap,2.962357044,2.972645044,0.009581341,2.952775717,TRUE,0,0.001,Adam,0,0.001,FALSE,512,,2.849652529,2.910767555,0.005807011,2.843845606,0.000579621,1,0.974241812,0.975270952
0.001L2_Slap,2.96727109,3.074246883,0.00852403,2.958747149,TRUE,0,0.001,Adam,0,0.001,FALSE,512,,3.048764229,3.031262875,0.014356347,3.034407854,0.007763748,1,0.932695784,0.938945471
0.001L2_Slap,2.959045649,2.933191538,0.008238809,2.950806856,TRUE,0,0.001,Adam,0,0.001,FALSE,512,,2.954679489,2.953567028,0.006566644,2.948112726,0.000368467,1,0.96975063,0.973239316
0.001L2_Slap,2.956609011,2.992574692,0.008079393,2.94852972,TRUE,0,0.001,Adam,0,0.001,FALSE,512,,2.862097979,2.902370453,0.005861129,2.856236935,0.000698372,1,0.974653233,0.970944443
0.001L2_Slap,2.959621191,2.902602911,0.007561208,2.952059984,TRUE,0,0.001,Adam,0,0.001,FALSE,512,,2.786613703,2.866095781,0.008895494,2.777718306,0.011035066,1,0.96468186,0.967081235
0.001L2_Slap,2.966803312,2.877432108,0.009607756,2.95719552,TRUE,0,0.001,Adam,0,0.001,FALSE,512,,2.784958363,2.737410545,0.006530117,2.778428316,0.000442822,1,0.971555609,0.969824052
0.001L2_Slap,2.94963336,2.96498704,0.006795096,2.942838192,TRUE,0,0.001,Adam,0,0.001,FALSE,512,,2.90890193,2.824193478,0.006428939,2.902472973,0.014407817,1,0.970922198,0.979093234
0.001L2_Slap,2.95724225,3.05272913,0.009209341,2.948032856,TRUE,0,0.001,Adam,0,0.001,FALSE,512,,2.888635397,2.819217682,0.007365869,2.881269455,0.024479624,1,0.967166862,0.963832152
0.001L2_Slap,2.948046923,2.971486092,0.00712004,2.94092679,TRUE,0,0.001,Adam,0,0.001,FALSE,512,,2.866188049,2.790387154,0.006576866,2.859611273,0.013030233,1,0.972405496,0.966750059
0.001L2_Slap,2.950244188,2.908557892,0.00667697,2.943567276,TRUE,0,0.001,Adam,0,0.001,FALSE,512,,2.825813293,2.812426567,0.003606978,2.822206259,0.000205743,1,0.985215529,0.985832194
0.001L2_Slap,2.946981907,2.924239397,0.006857851,2.940124035,TRUE,0,0.001,Adam,0,0.001,FALSE,512,,2.745112181,2.785034657,0.005652326,2.739459753,0.002306003,1,0.976365422,0.977679122
0.001L2_Slap,2.947090626,2.913812399,0.006646849,2.940443754,TRUE,0,0.001,Adam,0,0.001,FALSE,512,,3.007433891,3.045500755,0.007241795,3.000192165,0.005896873,1,0.966268873,0.968285747
0.001L2_Slap,2.946732521,3.0307796,0.006198924,2.940533638,TRUE,0,0.001,Adam,0,0.001,FALSE,512,,2.93415761,3.012650967,0.004170822,2.929986715,0.001194009,1,0.981418818,0.981749301
0.001L2_Slap,2.941740036,2.99601984,0.006501831,2.935238123,TRUE,0,0.001,Adam,0,0.001,FALSE,512,,2.887853384,2.885715246,0.004625606,2.883227825,0.007881498,1,0.979251534,0.981461239
0.001L2_Slap,2.939674139,2.960983753,0.006900476,2.93277359,TRUE,0,0.001,Adam,0,0.001,FALSE,512,,2.920913935,2.882441521,0.00800622,2.9129076,0.006582144,1,0.964612265,0.974690661
0.001L2_Slap,2.941342831,2.900840282,0.006943422,2.934399366,TRUE,0,0.001,Adam,0,0.001,FALSE,512,,2.786024332,2.782827377,0.00546522,2.780559063,0.000597559,1,0.975979009,0.974307938
0.001L2_Slap,2.937208414,2.987612247,0.005543558,2.931664944,TRUE,0,0.001,Adam,0,0.001,FALSE,512,,2.927283525,2.91105938,0.007498419,2.919785023,0.00270046,1,0.965348401,0.969032078
0.001L2_Slap,2.933977365,2.975012541,0.005451709,2.928525686,TRUE,0,0.001,Adam,0,0.001,FALSE,512,,2.871305466,2.899663448,0.002135787,2.869169712,0.000933353,1,0.990953501,0.991147303
0.001L2_Slap,2.935592413,2.904723644,0.00605004,2.929542303,TRUE,0,0.001,Adam,0,0.001,FALSE,512,,2.671725988,2.700438023,0.003743387,2.667982578,0.001443235,1,0.984144994,0.987243634
0.001L2_Slap,2.930084944,2.935841322,0.005094672,2.924990177,TRUE,0,0.001,Adam,0,0.001,FALSE,512,,2.973689556,2.978278637,0.006662584,2.967026949,0.000334508,1,0.968563102,0.970698612
0.001L2_Slap,2.933094025,2.897669077,0.005182833,2.927911282,TRUE,0,0.001,Adam,0,0.001,FALSE,512,,2.836690903,2.926297188,0.004333123,2.832357883,0.012589518,1,0.984571907,0.992392001
0.001L2_Slap,2.932443142,2.895896673,0.005208958,2.927234173,TRUE,0,0.001,Adam,0,0.001,FALSE,512,,2.874840498,2.953924179,0.003846499,2.870994091,0.013649097,1,0.985076212,0.989818789
0.001L2_Slap,2.928093195,2.972324133,0.005640805,2.92245245,TRUE,0,0.001,Adam,0,0.001,FALSE,512,,2.956656456,3.063179016,0.006867218,2.949789286,0.00498205,1,0.971576336,0.979622768
0.001L2_Slap,2.934996843,3.041969538,0.005905779,2.929090977,TRUE,0,0.001,Adam,0,0.001,FALSE,512,,2.832039118,2.880265713,0.005102367,2.826936722,0.004548407,1,0.978161639,0.976408991
0.001L2_Slap,2.926416397,2.975357771,0.00555252,2.920863867,TRUE,0,0.001,Adam,0,0.001,FALSE,512,,2.808525562,2.847271681,0.00179382,2.806731701,0.002492223,1,0.992927353,0.99129745
0.001L2_Slap,2.924149275,2.936713219,0.005019607,2.91912961,TRUE,0,0.001,Adam,0,0.001,FALSE,512,,2.840741396,2.872712374,0.003994923,2.836746454,0.00024443,1,0.982883033,0.983148386
0.001L2_Slap,2.924698114,2.975547075,0.00539207,2.91930604,TRUE,0,0.001,Adam,0,0.001,FALSE,512,,2.844208479,2.953603983,0.005086581,2.839121819,0.001316156,1,0.978951663,0.981040297
0.001L2_Slap,2.921826363,2.954280376,0.005321219,2.916505098,TRUE,0,0.001,Adam,0,0.001,FALSE,512,,2.800451994,2.904743671,0.007594713,2.79285717,0.001097094,1,0.967615834,0.969838861
0.001L2_Slap,2.921259403,2.916517735,0.005385625,2.915873766,TRUE,0,0.001,Adam,0,0.001,FALSE,512,,2.927015066,2.919174194,0.003861581,2.9231534,0.000869254,1,0.981911637,0.984381157
0.001L2_Slap,2.919169903,2.938608646,0.004919211,2.914250612,TRUE,0,0.001,Adam,0,0.001,FALSE,512,,2.988653421,2.978157043,0.004906533,2.983747005,0.001131692,1,0.976543379,0.978936684
0.001L2_Slap,2.917281151,2.911089897,0.004997988,2.912283182,TRUE,0,0.001,Adam,0,0.001,FALSE,512,,2.999735594,3.005385876,0.003407412,2.996328115,0.000284783,1,0.984175646,0.984912373
0.001L2_Slap,2.919181824,2.884356022,0.005282682,2.913899183,TRUE,0,0.001,Adam,0,0.001,FALSE,512,,2.740561008,2.782422543,0.004538194,2.736022711,0.002939033,1,0.98237344,0.982928135
0.001L2_Slap,2.913664818,2.919336319,0.005037877,2.908627033,TRUE,0,0.001,Adam,0,0.001,FALSE,512,,2.996447325,3.052828074,0.0039104,2.992537022,0.002133237,1,0.981787657,0.985074071
0.001L2_Slap,2.917966604,2.884699106,0.007121415,2.91084528,TRUE,0,0.001,Adam,0,0.001,FALSE,512,,2.818882942,2.855276108,0.002557779,2.816325188,0.002564169,1,0.988573725,0.984179474
0.001L2_Slap,2.912913561,2.894355059,0.005329062,2.907584429,TRUE,0,0.001,Adam,0,0.001,FALSE,512,,2.803084612,2.807825565,0.00192099,2.801163673,0.000711369,1,0.991395541,0.992207792
0.001L2_Slap,2.913949013,2.882392645,0.006489802,2.907459259,TRUE,0,0.001,Adam,0,0.001,FALSE,512,,2.880281925,2.874738455,0.002016551,2.878265381,0.000325731,1,0.990776736,0.990824364
0.001L2_Slap,2.911104202,2.967688322,0.004792152,2.906311989,TRUE,0,0.001,Adam,0,0.001,FALSE,512,,2.805592537,2.788460493,0.005872538,2.799720049,0.005205145,1,0.974099468,0.978413356
0.001L2_Slap,2.909990788,2.955607653,0.005486627,2.904504061,TRUE,0,0.001,Adam,0,0.001,FALSE,512,,2.983974695,3.018820763,0.002240576,2.981734037,0.001086964,1,0.989778375,0.986987852
0.001L2_Slap,2.908607721,2.938383818,0.005974074,2.902633667,TRUE,0,0.001,Adam,0,0.001,FALSE,512,,2.950613976,2.96562624,0.004190792,2.946423292,0.000193766,1,0.981164358,0.980218541
0.001L2_Slap,2.911417723,2.990056276,0.005637086,2.905780554,TRUE,0,0.001,Adam,0,0.001,FALSE,512,,2.965338945,3.025883913,0.003484577,2.961854458,0.001203401,1,0.984200735,0.981802309
0.001L2_Slap,2.904884815,2.936559916,0.004444497,2.900440216,TRUE,0,0.001,Adam,0,0.001,FALSE,512,,2.767240286,2.833322048,0.002957815,2.764282465,0.000467055,1,0.987670336,0.988193596
0.001L2_Slap,2.903071165,2.908098221,0.004347472,2.898723602,TRUE,0,0.001,Adam,0,0.001,FALSE,512,,2.898554087,2.971977711,0.004011209,2.894542933,0.003852472,1,0.982874653,0.986885424
0.001L2_Slap,2.909420967,2.860246897,0.00599006,2.903430939,TRUE,0,0.001,Adam,0,0.001,FALSE,512,,2.946791172,3.002094746,0.002518509,2.944272757,0.011699665,1,0.988577701,0.985763519
0.001L2_Slap,2.902942181,2.885539293,0.004482997,2.898459196,TRUE,0,0.001,Adam,0,0.001,FALSE,512,,2.962449551,3.032526016,0.002663539,2.959785938,0.006644077,1,0.989990035,0.993049519
0.001L2_Slap,2.899813175,2.898621559,0.004797384,2.895015717,TRUE,0,0.001,Adam,0,0.001,FALSE,512,,2.845952988,2.888737679,0.003575067,2.842377901,0.003156815,1,0.984839305,0.986201678
0.001L2_Slap,2.898699045,2.898783922,0.004595582,2.894103527,TRUE,0,0.001,Adam,0,0.001,FALSE,512,,2.662441969,2.677054167,0.005652623,2.656789303,0.000599238,1,0.976370265,0.977219106
0.001L2_Slap,2.896775484,2.90645051,0.004257682,2.892517805,TRUE,0,0.001,Adam,0,0.001,FALSE,512,,2.799120903,2.802820206,0.003681704,2.795439243,0.001579931,1,0.983705501,0.988196977
0.001L2_Slap,2.897900343,2.932284117,0.004531421,2.893368959,TRUE,0,0.001,Adam,0,0.001,FALSE,512,,2.795645952,2.814539909,0.00118067,2.794465303,0.001856662,1,0.995096121,0.995977156
0.001L2_Slap,2.898923397,2.95721674,0.004775286,2.894148111,TRUE,0,0.001,Adam,0,0.001,FALSE,512,,2.948523283,2.995993137,0.003111649,2.945411682,0.001189073,1,0.986055759,0.98570525
0.001L2_Slap,2.903672695,2.851775885,0.005885012,2.897787571,TRUE,0,0.001,Adam,0,0.001,FALSE,512,,2.991146803,2.935438156,0.008343941,2.982802868,0.000632319,1,0.959875848,0.957853452
0.001L2_Slap,2.902674675,2.855186462,0.006799695,2.895874977,TRUE,0,0.001,Adam,0,0.001,FALSE,512,,2.672787189,2.67956996,0.001956039,2.670831203,0.000496414,1,0.991582264,0.989762707
0.001L2_Slap,2.897757053,2.86498189,0.005676406,2.892080545,TRUE,0,0.001,Adam,0,0.001,FALSE,512,,2.624047279,2.627370358,0.002009321,2.622037888,0.000611292,1,0.991471701,0.990144637
0.001L2_Slap,2.897550106,2.866199493,0.006248462,2.891301632,TRUE,0,0.001,Adam,0,0.001,FALSE,512,,2.809256792,2.825401783,0.002264885,2.806991816,0.001278283,1,0.989858123,0.986253205
0.001L2_Slap,2.906202078,2.834241152,0.006696666,2.899505377,TRUE,0,0.001,Adam,0,0.001,FALSE,512,,2.98734498,2.980070591,0.004237629,2.983107328,0.003413184,1,0.979377037,0.974246462
0.001L2_Slap,2.910844088,2.823566198,0.007525777,2.903318405,TRUE,0,0.001,Adam,0,0.001,FALSE,512,,2.85490036,2.755890846,0.005031816,2.849868536,0.003415621,1,0.977356946,0.981359687
0.001L2_Slap,2.905459642,2.833503485,0.005930004,2.899529696,TRUE,0,0.001,Adam,0,0.001,FALSE,512,,3.032478094,2.923921108,0.006148227,3.026329756,0.001765167,1,0.969842557,0.973887879
0.001L2_Slap,2.896597147,2.852792501,0.004590436,2.892006636,TRUE,0,0.001,Adam,0,0.001,FALSE,512,,2.883789778,2.86702919,0.00430504,2.879484653,0.000505244,1,0.979970138,0.978042249
0.001L2_Slap,2.890295744,2.884895086,0.00489551,2.885400295,TRUE,0,0.001,Adam,0,0.001,FALSE,512,,2.816327572,2.818927765,0.002973549,2.813354015,0.000630626,1,0.986886178,0.985664174
0.001L2_Slap,2.887596607,2.901711226,0.003919167,2.883677483,TRUE,0,0.001,Adam,0,0.001,FALSE,512,,2.78898859,2.811172009,0.004844596,2.784143925,0.000423664,1,0.978333078,0.977830901
0.001L2_Slap,2.885635614,2.889902115,0.003824248,2.88181138,TRUE,0,0.001,Adam,0,0.001,FALSE,512,,2.816955328,2.821549892,0.005201729,2.811753511,0.000382889,1,0.976610896,0.978010459
0.001L2_Slap,2.884670496,2.891998053,0.003919686,2.880750895,TRUE,0,0.001,Adam,0,0.001,FALSE,512,,2.900564909,2.916413069,0.003189261,2.897375584,0.000767706,1,0.985052939,0.98887802
0.001L2_Slap,2.888952017,2.854480267,0.004301838,2.88465023,TRUE,0,0.001,Adam,0,0.001,FALSE,512,,2.691494942,2.721018791,0.003085107,2.688409805,0.002320145,1,0.987245392,0.988830693
0.001L2_Slap,2.883509874,2.913924932,0.003844318,2.879665613,TRUE,0,0.001,Adam,0,0.001,FALSE,512,,2.864072561,2.877946377,0.003049284,2.861023188,0.0009325,1,0.986763833,0.986387286
0.001L2_Slap,2.882675648,2.882000685,0.003765116,2.878910542,TRUE,0,0.001,Adam,0,0.001,FALSE,512,,2.825676203,2.852228403,0.003894953,2.821781158,0.000554081,1,0.982664617,0.98363221
0.001L2_Slap,2.883022785,2.880617142,0.004017723,2.879004955,TRUE,0,0.001,Adam,0,0.001,FALSE,512,,2.913379669,2.932839394,0.003490254,2.90988946,0.000657658,1,0.984057034,0.985034228
0.001L2_Slap,2.897336483,2.827651024,0.007070463,2.890265942,TRUE,0,0.001,Adam,0,0.001,FALSE,512,,2.826622963,2.835696459,0.001870446,2.824752569,0.003426628,1,0.992130602,0.978298165
0.001L2_Slap,2.883137226,2.936953545,0.004084021,2.879053116,TRUE,0,0.001,Adam,0,0.001,FALSE,512,,2.797366381,2.753782034,0.007647214,2.789719105,0.006654888,1,0.966341677,0.970051424
0.001L2_Slap,2.879947901,2.885102272,0.003992999,2.875954866,TRUE,0,0.001,Adam,0,0.001,FALSE,512,,2.791396618,2.826397419,0.001514408,2.789882183,0.000449388,1,0.993606043,0.993516038
0.001L2_Slap,2.879264355,2.884011745,0.003605667,2.875658751,TRUE,0,0.001,Adam,0,0.001,FALSE,512,,2.709728718,2.715446234,0.002030959,2.707697868,0.001125839,1,0.991590267,0.993114385
0.001L2_Slap,2.87886858,2.878702879,0.003590566,2.875277996,TRUE,0,0.001,Adam,0,0.001,FALSE,512,,2.718378067,2.740697145,0.003910304,2.714467764,0.00058133,1,0.983672664,0.983853231
0.001L2_Slap,2.878319025,2.901578903,0.003921076,2.874397993,TRUE,0,0.001,Adam,0,0.001,FALSE,512,,2.960135698,2.963704586,0.002928542,2.957207203,0.000772976,1,0.986262574,0.986093193
0.001L2_Slap,2.877624035,2.883009911,0.00372441,2.873899698,TRUE,0,0.001,Adam,0,0.001,FALSE,512,,2.845641613,2.860012531,0.002563403,2.843078136,0.000535032,1,0.9894508,0.992914633
0.001L2_Slap,2.877364874,2.878298521,0.003969804,2.873394966,TRUE,0,0.001,Adam,0,0.001,FALSE,512,,2.848833799,2.869688988,0.00365265,2.845181227,0.000700596,1,0.984163445,0.986105603
0.001L2_Slap,2.877342463,2.887824535,0.004314103,2.873028278,TRUE,0,0.001,Adam,0,0.001,FALSE,512,,2.671583891,2.673702002,0.00398218,2.667601824,0.001008476,1,0.982810725,0.983059544
0.001L2_Slap,2.876670122,2.903232336,0.003849362,2.872820854,TRUE,0,0.001,Adam,0,0.001,FALSE,512,,2.807410479,2.801081657,0.002239014,2.80517149,0.002519858,1,0.989878284,0.99173086
0.001L2_Slap,2.876398563,2.899017096,0.004492611,2.871906042,TRUE,0,0.001,Adam,0,0.001,FALSE,512,,2.903105974,2.963868856,0.002563959,2.900542021,0.001363507,1,0.987926957,0.988644665
0.001L2_Slap,2.880223989,2.846487761,0.004897699,2.875326395,TRUE,0,0.001,Adam,0,0.001,FALSE,512,,2.813423395,2.869420528,0.003181655,2.810241699,0.011217592,1,0.985747383,0.981557295
0.001L2_Slap,2.874350309,2.878542423,0.003396163,2.870954037,TRUE,0,0.001,Adam,0,0.001,FALSE,512,,2.907796144,2.90902257,0.002439796,2.905356407,0.00070589,1,0.988472547,0.991721827
0.001L2_Slap,2.87763834,2.851135254,0.003825364,2.873812914,TRUE,0,0.001,Adam,0,0.001,FALSE,512,,2.802090883,2.780494213,0.004707674,2.797383308,0.000523622,1,0.978723064,0.981361287
0.001L2_Slap,2.879411221,2.946278095,0.004917106,2.874494076,TRUE,0,0.001,Adam,0,0.001,FALSE,512,,2.921545029,2.95407486,0.001409363,2.920135736,0.004587903,1,0.993900579,0.989361656
0.001L2_Slap,2.875782967,2.854624271,0.003728257,2.872054815,TRUE,0,0.001,Adam,0,0.001,FALSE,512,,2.807790995,2.830381155,0.002447846,2.805343151,0.001582838,1,0.989868191,0.98967274
0.001L2_Slap,2.875006914,2.850646496,0.003754166,2.871252775,TRUE,0,0.001,Adam,0,0.001,FALSE,512,,2.921095848,2.922572136,0.002437998,2.91865778,0.000537234,1,0.989700978,0.990667293
0.001L2_Slap,2.871934175,2.882127047,0.003500666,2.868433475,TRUE,0,0.001,Adam,0,0.001,FALSE,512,,2.765096903,2.777192831,0.003170319,2.761926651,0.000472894,1,0.986697177,0.987730382
0.001L2_Slap,2.871423483,2.870115995,0.003659724,2.867763758,TRUE,0,0.001,Adam,0,0.001,FALSE,512,,2.851182222,2.85337162,0.00179404,2.849388123,0.000674276,1,0.991988263,0.992998356
0.001L2_Slap,2.876757622,2.934283972,0.006942278,2.86981535,TRUE,0,0.001,Adam,0,0.001,FALSE,512,,2.957962751,2.943089962,0.003441812,2.954520941,0.00787137,1,0.983444116,0.972605214
0.001L2_Slap,2.871548414,2.89127779,0.003404825,2.868143559,TRUE,0,0.001,Adam,0,0.001,FALSE,512,,2.915059805,2.984045506,0.004482635,2.910577059,0.005221713,1,0.982111487,0.989581955
0.001L2_Slap,2.876283407,2.843413591,0.004821967,2.871461391,TRUE,0,0.001,Adam,0,0.001,FALSE,512,,2.769623995,2.759465694,0.004192544,2.765431404,0.001198552,1,0.981471279,0.978092624
0.001L2_Slap,2.870639086,2.906033039,0.003309615,2.867329359,TRUE,0,0.001,Adam,0,0.001,FALSE,512,,2.86162591,2.872940063,0.003399523,2.858226299,0.001527668,1,0.984437369,0.985092506
0.001L2_Slap,2.871958494,2.919308901,0.003748178,2.868210316,TRUE,0,0.001,Adam,0,0.001,FALSE,512,,2.859779596,2.867994308,0.003995749,2.855783939,0.003458368,1,0.981556419,0.982761549
