loss,entropy,value_loss,policy_loss,kl,lr_multiplier,explained_var_old,explained_var_new,v_loss,v_entropy,v_value_loss,v_policy_loss
4.599442005157471,4.132434368133545,0.478468120098114,4.120974063873291,0.002172496,1.0,0.756370690852381,0.7986188359543225,5.186324119567871,4.158313751220703,1.0295902490615845,4.156733989715576
4.103987693786621,4.049709320068359,0.00014103722060099244,4.103846549987793,0.03343027,1.0,0.9998624541997174,0.9780698056011699,4.629973411560059,4.094217777252197,0.41580647230148315,4.21416711807251
4.071486473083496,4.077004432678223,0.0,4.071486473083496,0.004474578,1.0,1.0,1.0,4.212855815887451,4.015260219573975,0.0,4.212855815887451
4.693996906280518,4.004022598266602,0.6562503576278687,4.037746429443359,0.01200364,1.0,0.34590354200678497,0.34590399228079993,8.092529296875,4.0940656661987305,4.0,4.092528820037842
5.266824245452881,4.083861351013184,1.2265625,4.040261745452881,0.0041903015,1.0,-0.22746499305205603,-0.22746498556677586,8.282306671142578,3.818066358566284,3.9999947547912598,4.282311916351318
5.410870552062988,3.9896240234375,1.3870840072631836,4.023786544799805,0.0031806994,1.0,-0.3803114162404848,-0.31160161184592394,8.099407196044922,4.071847915649414,4.0,4.09940767288208
5.546684741973877,3.990279197692871,1.5546875,3.991997241973877,0.0017180331,1.0,-0.5545328265482132,-0.5545328265482132,8.069280624389648,3.940431594848633,4.0,4.069280624389648
5.795990943908691,3.9927120208740234,1.8046875,3.9913034439086914,0.0013161881,1.0,-0.8043335622186618,-0.8043335622186618,8.11170768737793,4.126794338226318,4.0,4.11170768737793
6.122760772705078,3.9538471698760986,2.1484375,3.974323272705078,0.0032210285,1.0,-1.1488247863247865,-1.1488247863247865,8.27733325958252,3.9199349880218506,4.0,4.2773332595825195
6.059910297393799,3.9863014221191406,2.0859375,3.973972797393799,0.0013660036,1.0,-1.0867393695014664,-1.0867393695014664,8.132072448730469,4.054651260375977,4.0,4.1320719718933105
6.227271556854248,3.9832398891448975,2.234375,3.992896556854248,0.0014755488,1.0,-1.2340763358778628,-1.2340763358778628,8.191690444946289,4.026368141174316,4.0,4.191689968109131
6.535548210144043,3.9745402336120605,2.5625,3.973048210144043,0.0037661053,1.0,-1.5381246662088959,-1.5381246662088959,7.985933303833008,3.897167205810547,4.0,3.9859330654144287
6.437945365905762,3.9573848247528076,2.4921875,3.9457578659057617,0.04227514,1.0,-1.4942138653214094,-1.4942138653214094,7.910406589508057,4.060967445373535,4.0,3.9104065895080566
6.035707473754883,3.8413028717041016,2.1796875,3.856019973754883,0.013036149,1.0,-1.1848529072893466,-1.1848529072893466,3.9219229221343994,3.1813395023345947,0.0,3.9219229221343994
6.200045585632324,3.8706278800964355,2.3671875,3.832858085632324,0.0073778005,1.0,-1.3682682759147506,-1.3682682759147506,7.948034286499023,3.5893383026123047,4.0,3.9480345249176025
6.021728515625,3.8250021934509277,2.1953125,3.826415777206421,0.008888017,1.0,-1.1499270424764063e-08,0.0,7.658664703369141,3.7998061180114746,4.0,3.6586647033691406
5.7896623611450195,3.801661252975464,1.984375,3.8052873611450195,0.010736179,1.0,0.0,0.0,5.312963485717773,3.643550157546997,1.6296296119689941,3.6833338737487793
5.857782363891602,3.746687412261963,2.0703125,3.7874698638916016,0.013948331,1.0,0.0,0.0,5.1362104415893555,3.748991012573242,1.3333333730697632,3.8028769493103027
5.636394023895264,3.755969285964966,1.875,3.7613940238952637,0.008469685,1.0,0.0,0.0,5.384599685668945,3.6761696338653564,1.6296296119689941,3.754969835281372
5.8135666847229,3.7480409145355225,2.046875,3.7666916847229004,0.009113358,1.0,0.0,0.0,4.921673774719238,3.6620032787323,1.3333333730697632,3.5883402824401855
5.658092498779297,3.699791431427002,1.9140625,3.7440297603607178,0.009381652,1.0,0.0,0.0,5.464673042297363,3.5365076065063477,1.9354838132858276,3.529189109802246
5.535243511199951,3.7237119674682617,1.828125,3.707118511199951,0.008243486,1.0,0.0,0.0,5.487488746643066,3.350680112838745,1.9393939971923828,3.5480949878692627
5.562455177307129,3.714831829071045,1.8359375,3.726517915725708,0.008600939,1.0,0.0,0.0,5.415928363800049,3.4779937267303467,1.9393939971923828,3.476534366607666
5.7022881507873535,3.723559617996216,1.96875,3.7335381507873535,0.014290718,1.0,0.0,0.0,5.121488094329834,3.7124598026275635,1.6842105388641357,3.4372775554656982
5.625925540924072,3.71684193611145,1.9296875,3.6962380409240723,0.0069760783,1.0,0.0,0.0,5.078062057495117,3.622394561767578,1.454545497894287,3.623516798019409
5.830056190490723,3.712028980255127,2.1171875,3.7128686904907227,0.009587193,1.0,0.0,0.0,5.065853118896484,3.5154330730438232,1.6296296119689941,3.436223268508911
5.636409759521484,3.7221457958221436,1.9296875,3.7067220211029053,0.006066785,1.0,0.0,0.0,5.292029857635498,3.8571441173553467,1.0909091234207153,4.201120853424072
5.561075687408447,3.705458164215088,1.84375,3.7173256874084473,0.0066098943,1.0,0.0,0.0,5.241580009460449,3.3483943939208984,1.7931034564971924,3.448476791381836
5.6945905685424805,3.7241530418395996,1.9921875,3.7024030685424805,0.008033128,1.0,0.0,0.0,5.120978355407715,3.3298261165618896,1.39130437374115,3.7296741008758545
5.726963996887207,3.718111038208008,2.0390625,3.687901258468628,0.0048558926,1.0,0.0,0.0,5.710543632507324,3.678035020828247,1.7142858505249023,3.996257781982422
5.465847969055176,3.6301846504211426,1.828125,3.637722969055176,0.005232714,1.0,0.0,0.0,4.962199687957764,3.4929444789886475,1.4399999380111694,3.5221996307373047
