model,loss,entropy,value_loss,policy_loss,tr_loss,tr_entropy,tr_value_loss,tr_policy_loss,kl,lr_multiplier,explained_var_old,explained_var_new,use_slap,Num_ResBlock,lr,SGD,dropout,L2,extra_act_fc
n5_0.0001lr_Adam0.2dropout_0.001L2,4.372779,"tensor(4.1359, device='cuda:0')","tensor(0.2997, device='cuda:0')","tensor(4.0731, device='cuda:0')",2.81346035,2.910855293,0.000267239,2.813193083,0.02572957,1,0.998402748,0.998970616,FALSE,5,0.0001,FALSE,0.2,0.001,FALSE
n5_0.0001lr_Adam0.3dropout_0.001L2,4.3616905,"tensor(4.1490, device='cuda:0')","tensor(0.3016, device='cuda:0')","tensor(4.0601, device='cuda:0')",2.819149256,2.919435978,0.000421816,2.818727493,0.04495561,1,0.998466548,0.998748171,FALSE,5,0.0001,FALSE,0.3,0.001,FALSE
n5_0.0001lr_Adam0.4dropout_0.001L2,4.254889,"tensor(4.1496, device='cuda:0')","tensor(0.1993, device='cuda:0')","tensor(4.0555, device='cuda:0')",2.957366228,2.990325451,0.005778036,2.951588154,0.05442258,1,0.971555834,0.974441482,FALSE,5,0.0001,FALSE,0.4,0.001,FALSE
n5_1e-05lr_SGD0dropout_0.001L2,4.429843,"tensor(4.1338, device='cuda:0')","tensor(0.2508, device='cuda:0')","tensor(4.1790, device='cuda:0')",4.364769936,4.115683556,0.208066761,4.156702995,4.12E-08,1,0.050393662,0.050527088,FALSE,5,1.00E-05,TRUE,0,0.001,FALSE
n5_1e-05lr_SGD0.1dropout_0.001L2,4.403549,"tensor(4.1570, device='cuda:0')","tensor(0.2454, device='cuda:0')","tensor(4.1581, device='cuda:0')",4.354156494,4.108132362,0.182388425,4.171768188,0.014672138,1,0.201003439,0.18034193,FALSE,5,1.00E-05,TRUE,0.1,0.001,FALSE
n5_1e-05lr_SGD0.2dropout_0.001L2,4.3858795,"tensor(4.1544, device='cuda:0')","tensor(0.2236, device='cuda:0')","tensor(4.1622, device='cuda:0')",4.371070862,4.09539032,0.201969773,4.169101238,0.03376829,1,0.057442191,0.079919053,FALSE,5,1.00E-05,TRUE,0.2,0.001,FALSE
n5_1e-05lr_SGD0.3dropout_0.001L2,4.443489,"tensor(4.1535, device='cuda:0')","tensor(0.2818, device='cuda:0')","tensor(4.1617, device='cuda:0')",4.386099815,4.089662075,0.202881306,4.183218479,0.04854031,1,0.043307349,0.025343729,FALSE,5,1.00E-05,TRUE,0.3,0.001,FALSE
n5_1e-05lr_SGD0.4dropout_0.001L2,4.460888,"tensor(4.1372, device='cuda:0')","tensor(0.2877, device='cuda:0')","tensor(4.1732, device='cuda:0')",4.387280464,4.075628757,0.158555016,4.228725433,0.078779094,1,0.270161258,0.279107189,FALSE,5,1.00E-05,TRUE,0.4,0.001,FALSE
n5_1e-05lr_Adam0dropout_0.001L2,4.3759103,"tensor(4.1207, device='cuda:0')","tensor(0.3031, device='cuda:0')","tensor(4.0729, device='cuda:0')",3.153442383,3.648064613,0.004382601,3.149059772,8.80E-05,1,0.980513123,0.981335542,FALSE,5,1.00E-05,FALSE,0,0.001,FALSE
n5_1e-05lr_Adam0.1dropout_0.001L2,4.3762884,"tensor(4.1392, device='cuda:0')","tensor(0.2592, device='cuda:0')","tensor(4.1171, device='cuda:0')",3.191350222,3.711179972,0.009685523,3.181664705,0.026964763,1,0.955538876,0.960008405,FALSE,5,1.00E-05,FALSE,0.1,0.001,FALSE
n5_1e-05lr_Adam0.2dropout_0.001L2,4.4425054,"tensor(4.1341, device='cuda:0')","tensor(0.3300, device='cuda:0')","tensor(4.1125, device='cuda:0')",3.181831598,3.72587347,0.007776422,3.174055099,0.058292784,1,0.96282155,0.961665749,FALSE,5,1.00E-05,FALSE,0.2,0.001,FALSE
n5_1e-05lr_Adam0.3dropout_0.001L2,4.38594,"tensor(4.1540, device='cuda:0')","tensor(0.2508, device='cuda:0')","tensor(4.1352, device='cuda:0')",3.194897175,3.737623215,0.004999702,3.189897537,0.09936339,1,0.979172346,0.979617471,FALSE,5,1.00E-05,FALSE,0.3,0.001,FALSE
n5_1e-05lr_Adam0.4dropout_0.001L2,4.3739505,"tensor(4.1420, device='cuda:0')","tensor(0.2246, device='cuda:0')","tensor(4.1493, device='cuda:0')",3.309483767,3.793264389,0.005563061,3.303920746,0.14037275,1,0.966022111,0.968122177,FALSE,5,1.00E-05,FALSE,0.4,0.001,FALSE
n10_0.1lr_SGD0dropout_0.001L2,4.3996544,"tensor(4.1476, device='cuda:0')","tensor(0.3074, device='cuda:0')","tensor(4.0922, device='cuda:0')",2.771631718,2.791627884,0.000121549,2.771510124,0.002092945,1,0.99946964,0.998983507,FALSE,10,0.1,TRUE,0,0.001,FALSE
n10_0.1lr_SGD0.1dropout_0.001L2,4.3816366,"tensor(4.1527, device='cuda:0')","tensor(0.2535, device='cuda:0')","tensor(4.1281, device='cuda:0')",2.727656603,2.725687981,0.002474546,2.725182056,0.03362994,1,0.989514425,0.990920761,FALSE,10,0.1,TRUE,0.1,0.001,FALSE
n10_0.1lr_SGD0.2dropout_0.001L2,4.4200835,"tensor(4.1539, device='cuda:0')","tensor(0.3090, device='cuda:0')","tensor(4.1110, device='cuda:0')",2.930089951,2.960408688,0.003481763,2.926608086,0.07029025,1,0.985135864,0.999674357,FALSE,10,0.1,TRUE,0.2,0.001,FALSE
n10_0.1lr_SGD0.3dropout_0.001L2,4.452539,"tensor(4.1471, device='cuda:0')","tensor(0.3071, device='cuda:0')","tensor(4.1454, device='cuda:0')",2.757826567,2.775935173,2.31E-05,2.75780344,0.04081808,1,0.999876155,0.999874674,FALSE,10,0.1,TRUE,0.3,0.001,FALSE
