model,loss,entropy,value_loss,policy_loss,use_slap,Num_ResBlock,lr,optimizer,dropout,L2,extra_act_fc,batch_size,special,train_loss,train_entropy,train_value_loss,train_policy_loss,kl,lr_multiplier,explained_var_old,explained_var_new
0.001L2_Slap,4.348284721,4.068003178,0.228145778,4.120139122,TRUE,0,0.001,Adam,0,0.001,FALSE,512,,4.379513264,4.062285423,0.242995203,4.136518002,0.000894173,1,0.002817249,0.002854653
0.001L2_Slap,4.332006454,4.118301392,0.219858244,4.112148285,TRUE,0,0.001,Adam,0,0.001,FALSE,512,,4.334249973,4.125043392,0.218459383,4.115790367,0.000337403,1,0.005277734,0.006264599
0.001L2_Slap,4.329879284,4.107866764,0.219582692,4.110296726,TRUE,0,0.001,Adam,0,0.001,FALSE,512,,4.322143555,4.108324051,0.227729946,4.094413757,4.80E-05,1,0.011526414,0.012462567
0.001L2_Slap,4.3222785,4.116987705,0.214908198,4.107370377,TRUE,0,0.001,Adam,0,0.001,FALSE,512,,4.321639061,4.111766815,0.214379013,4.107260227,0.000168107,1,0.027586244,0.029611118
0.001L2_Slap,4.304727077,4.104203224,0.204820186,4.099906921,TRUE,0,0.001,Adam,0,0.001,FALSE,512,,4.308302879,4.094147682,0.195009947,4.113292694,0.000440721,1,0.075304996,0.082056194
0.001L2_Slap,4.245625496,4.102965832,0.170538172,4.075087547,TRUE,0,0.001,Adam,0,0.001,FALSE,512,,4.236227989,4.105442524,0.172131866,4.064095974,8.19E-05,1,0.20151254,0.228759914
0.001L2_Slap,4.047880173,4.055472374,0.107662871,3.940217495,TRUE,0,0.001,Adam,0,0.001,FALSE,512,,4.066244602,4.043033123,0.099915363,3.966329098,0.001786736,1,0.533433904,0.556836995
0.001L2_Slap,3.784155607,3.861913919,0.07706172,3.707093954,TRUE,0,0.001,Adam,0,0.001,FALSE,512,,3.803651571,3.90858531,0.073165759,3.730485916,0.002874084,1,0.687051176,0.700671328
0.001L2_Slap,3.546517134,3.604605198,0.062281594,3.484235525,TRUE,0,0.001,Adam,0,0.001,FALSE,512,,3.555715561,3.63760376,0.063934699,3.491780758,0.001712355,1,0.725433222,0.731845611
0.001L2_Slap,3.36851263,3.418909073,0.047128361,3.321384192,TRUE,0,0.001,Adam,0,0.001,FALSE,512,,3.381131887,3.473989964,0.05739484,3.323737144,0.006182198,1,0.744201521,0.755247909
0.001L2_Slap,3.24370265,3.256433487,0.040202644,3.203500032,TRUE,0,0.001,Adam,0,0.001,FALSE,512,,3.343557596,3.430537939,0.053414539,3.290143013,0.022843465,1,0.758113982,0.753034229
0.001L2_Slap,3.206087112,3.412828684,0.048103765,3.157983303,TRUE,0,0.001,Adam,0,0.001,FALSE,512,,3.179422379,3.372184277,0.044088997,3.1353333,0.001250467,1,0.822404468,0.809664956
0.001L2_Slap,3.11029458,3.085464239,0.033424895,3.076869726,TRUE,0,0.001,Adam,0,0.001,FALSE,512,,3.137766838,3.055280209,0.040188741,3.097578049,0.000577118,1,0.819586438,0.824062567
0.001L2_Slap,3.05821538,3.073297739,0.028970731,3.029244661,TRUE,0,0.001,Adam,0,0.001,FALSE,512,,3.013546944,3.102946281,0.024667693,2.988879204,0.001488188,1,0.897089926,0.900864754
0.001L2_Slap,3.024141073,3.028522253,0.025296109,2.998844862,TRUE,0,0.001,Adam,0,0.001,FALSE,512,,3.055742264,3.013889313,0.029707067,3.026035309,0.001624615,1,0.864025657,0.870229579
0.001L2_Slap,3.001526356,2.993472338,0.021653423,2.979872942,TRUE,0,0.001,Adam,0,0.001,FALSE,512,,3.131673813,3.103092194,0.023053609,3.108620167,0.000655829,1,0.891298206,0.892321287
0.001L2_Slap,2.989796877,3.079205513,0.022945985,2.966850996,TRUE,0,0.001,Adam,0,0.001,FALSE,512,,3.21366477,3.192426205,0.017413914,3.196250916,0.002428265,1,0.912151464,0.911245505
0.001L2_Slap,2.969022274,2.943158388,0.018512344,2.950510025,TRUE,0,0.001,Adam,0,0.001,FALSE,512,,2.943911791,2.914490938,0.016655736,2.927256107,0.00095405,1,0.925632283,0.930131365
