model,loss,entropy,value_loss,policy_loss,use_slap,Num_ResBlock,lr,optimizer,dropout,L2,extra_act_fc,batch_size,train_loss,train_entropy,train_value_loss,train_policy_loss,kl,lr_multiplier,explained_var_old,explained_var_new
s0_size10064_originalsize10064,2.907507896,2.947943687,0.008215828,2.899291992,TRUE,0,0.001,Adam,0,0.0001,FALSE,512,2.861029148,2.910019875,0.011591837,2.849437237,0.00060622,1,0.950656834,0.953976479
s0_size10064_originalsize10064,2.906670094,2.975961208,0.007897528,2.898772478,TRUE,0,0.001,Adam,0,0.0001,FALSE,512,2.900129318,2.944520473,0.011748293,2.888381004,0.000233717,1,0.948074301,0.947254707
s0_size10064_originalsize10064,2.909609318,2.999156237,0.012139654,2.897469759,TRUE,0,0.001,Adam,0,0.0001,FALSE,512,2.909710169,2.937987804,0.009687185,2.900022984,0.00144845,1,0.957834077,0.950241838
s0_size10064_originalsize10064,2.896453142,2.921137094,0.006285047,2.89016819,TRUE,0,0.001,Adam,0,0.0001,FALSE,512,2.963166714,2.982460499,0.011665666,2.951501131,0.000846011,1,0.946585775,0.947095496
s0_size10064_originalsize10064,2.894263983,2.952137232,0.006024755,2.888239145,TRUE,0,0.001,Adam,0,0.0001,FALSE,512,2.97687602,3.023362637,0.007576244,2.969299793,0.000558266,1,0.96665211,0.967281934
s0_size10064_originalsize10064,2.890767574,2.941496611,0.005802435,2.884965181,TRUE,0,0.001,Adam,0,0.0001,FALSE,512,2.957252741,2.951008797,0.008925954,2.948326826,0.001240236,1,0.959084994,0.956923943
s0_size10064_originalsize10064,2.885914564,2.899252415,0.005272497,2.880642176,TRUE,0,0.001,Adam,0,0.0001,FALSE,512,2.923404694,2.896762371,0.005943285,2.917461395,0.000943502,1,0.972976971,0.974901007
s0_size10064_originalsize10064,2.883620501,2.923942089,0.005245719,2.878374815,TRUE,0,0.001,Adam,0,0.0001,FALSE,512,2.870538712,2.921387196,0.006430041,2.864108562,0.000967363,1,0.97204803,0.973689239
s0_size10064_originalsize10064,2.894941807,3.012699127,0.007928605,2.887013197,TRUE,0,0.001,Adam,0,0.0001,FALSE,512,2.928314209,2.978889942,0.010524191,2.917789936,0.000514608,1,0.952098496,0.950829955
s0_size10064_originalsize10064,2.88655591,2.980053663,0.006051137,2.880504847,TRUE,0,0.001,Adam,0,0.0001,FALSE,512,2.86721611,2.955060959,0.009235222,2.857980967,0.000303412,1,0.961959079,0.958723566
